id,activity,application,application_id,attachments,author.avatar,author.bot,author.clan,author.discriminator,author.flags,author.global_name,author.id,author.primary_guild,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds.0.color,embeds.0.content_scan_version,embeds.0.fields.0.inline,embeds.0.fields.0.name,embeds.0.fields.0.value,embeds.0.fields.1.inline,embeds.0.fields.1.name,embeds.0.fields.1.value,embeds.0.fields.2.inline,embeds.0.fields.2.name,embeds.0.fields.2.value,embeds.0.fields.3.inline,embeds.0.fields.3.name,embeds.0.fields.3.value,embeds.0.fields.4.inline,embeds.0.fields.4.name,embeds.0.fields.4.value,embeds.0.fields.5.inline,embeds.0.fields.5.name,embeds.0.fields.5.value,embeds.0.fields.6.inline,embeds.0.fields.6.name,embeds.0.fields.6.value,embeds.0.fields.7.inline,embeds.0.fields.7.name,embeds.0.fields.7.value,embeds.0.fields.8.inline,embeds.0.fields.8.name,embeds.0.fields.8.value,embeds.0.thumbnail.content_type,embeds.0.thumbnail.flags,embeds.0.thumbnail.height,embeds.0.thumbnail.placeholder,embeds.0.thumbnail.placeholder_version,embeds.0.thumbnail.proxy_url,embeds.0.thumbnail.url,embeds.0.thumbnail.width,embeds.0.timestamp,embeds.0.title,embeds.0.type,flags,interaction,mention_channels,mention_everyone,mentions,message_reference,nonce,pinned,position,reactions,referenced_message,resolved,role_subscription_data,sticker_items,stickers,thread,timestamp,tts,type,userName,webhook_id
1488572988063219773,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-03-31T16:17:36.703Z,,4491519,4,true,Visitor,Anonymous,true,🔗 Page,/stats/flying-squirrel,true,🌐 Location,US,true,📱 Device,Chrome on Linux,true,📐 Screen,412x732,true,🌐 Language,en-US,,,,,,,,,,image/png,0,630,8/cRBID3eEeJd4eKdnf4cnoJhw==,1,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,1200,2026-03-31T16:12:35.252000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-03-31T16:17:36.703000+00:00,false,0,Animal Battle Stats,1446203750204047426
1488142275883040820,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-03-30T11:46:06.917Z,,4491519,4,true,Visitor,Anonymous,true,🔗 Page,/about,true,🌐 Location,"Singapore, SG",true,🖥️ Device,Chrome on Windows,true,📐 Screen,1280x1200,true,🌐 Language,en-US,,,,,,,,,,image/png,0,630,8/cRBID3eEeJd4eKdnf4cnoJhw==,1,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,1200,2026-03-30T11:46:06.546000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-03-30T11:46:06.917000+00:00,false,0,Animal Battle Stats,1446203750204047426
1488142183013023787,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-03-30T11:45:44.775Z,,4491519,4,true,Visitor,Anonymous,true,🔗 Page,/about,true,🌐 Location,SG,true,🖥️ Device,Chrome on Windows,true,📐 Screen,1280x1200,true,🌐 Language,en-US,,,,,,,,,,image/png,0,630,8/cRBID3eEeJd4eKdnf4cnoJhw==,1,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,1200,2026-03-30T11:45:44.052000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-03-30T11:45:44.775000+00:00,false,0,Animal Battle Stats,1446203750204047426
1488142175136124989,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-03-30T11:45:42.897Z,,4491519,4,true,Visitor,Anonymous,true,🔗 Page,/about,true,🌐 Location,"Singapore, SG",true,🖥️ Device,Chrome on Windows,true,📐 Screen,1280x1200,true,🌐 Language,en-US,,,,,,,,,,image/png,0,630,8/cRBID3eEeJd4eKdnf4cnoJhw==,1,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,1200,2026-03-30T11:45:26.123000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-03-30T11:45:42.897000+00:00,false,0,Animal Battle Stats,1446203750204047426
1487773536247615558,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-03-29T11:20:52.537Z,,4491519,4,true,Visitor,Anonymous,true,🔗 Page,/tournament,true,🌐 Location,"Singapore, SG",true,🖥️ Device,Chrome on Windows,true,📐 Screen,1280x1200,true,🌐 Language,en-US,,,,,,,,,,image/png,0,630,8/cRBID3eEeJd4eKdnf4cnoJhw==,1,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,1200,2026-03-29T11:20:52.175000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-03-29T11:20:52.537000+00:00,false,0,Animal Battle Stats,1446203750204047426
1487773529796640788,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-03-29T11:20:50.999Z,,4491519,4,true,Visitor,Anonymous,true,🔗 Page,/tournament,true,🌐 Location,"Singapore, SG",true,🖥️ Device,Chrome on Windows,true,📐 Screen,1280x1200,true,🌐 Language,en-US,,,,,,,,,,image/png,0,630,8/cRBID3eEeJd4eKdnf4cnoJhw==,1,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,1200,2026-03-29T11:20:30.738000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-03-29T11:20:50.999000+00:00,false,0,Animal Battle Stats,1446203750204047426
1487577058589802506,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-03-28T22:20:08.613Z,,6710886,4,true,User,Anonymous,true,🔗 Page,/compare,true,🌐 Location,"Katy, TX, US",true,🕐 Session Duration,1m 6s,,,,,,,,,,,,,,,,image/png,0,630,8/cRBID3eEeJd4eKdnf4cnoJhw==,1,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,1200,2026-03-28T22:20:08.302000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2026-03-28T22:20:08.613000+00:00,false,0,Animal Battle Stats,1446203750204047426
1487576784772792522,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-03-28T22:19:03.330Z,,6710886,4,true,User,Anonymous,true,🔗 Page,/about,true,🌐 Location,"Katy, TX, US",true,🕐 Session Duration,34s,,,,,,,,,,,,,,,,image/png,0,630,8/cRBID3eEeJd4eKdnf4cnoJhw==,1,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,1200,2026-03-28T22:19:01.513000+00:00,👋 User Left Site,rich,0,,,false,,,,false,,,,,,,,,2026-03-28T22:19:03.330000+00:00,false,0,Animal Battle Stats,1446203750204047426
1487576779672785062,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-03-28T22:19:02.114Z,,4491519,4,true,Visitor,Anonymous,true,🔗 Page,/,true,🌐 Location,"Katy, TX, US",true,🖥️ Device,Chrome on Windows,true,📐 Screen,1366x768,true,🌐 Language,en-US,,,,,,,,,,image/png,0,630,8/cRBID3eEeJd4eKdnf4cnoJhw==,1,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,1200,2026-03-28T22:18:27.057000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-03-28T22:19:02.114000+00:00,false,0,Animal Battle Stats,1446203750204047426
1487576634096615537,,,,,,true,,0000,0,,1446203750204047426,,0,Animal Battle Stats,,1446204139909550150,,,2026-03-28T22:18:27.406Z,,4491519,4,true,Visitor,Anonymous,true,🔗 Page,/,true,🌐 Location,"San Jose, CA, US",true,🖥️ Device,Chrome on Linux,true,📐 Screen,800x600,true,🌐 Language,en-US,false,🔗 Came From,https://animal-battle-stats-dk1mvpqkc-raminoodle733s-projects.vercel.app/,,,,,,,image/png,0,630,8/cRBID3eEeJd4eKdnf4cnoJhw==,1,https://images-ext-1.discordapp.net/external/JNVOwhfRcEFw8VgKDMB9KwuZ8MKiLYwmegb7iAnEsqQ/https/animalbattlestats.com/images/icons/icon-192.png,https://animalbattlestats.com/images/icons/icon-192.png,1200,2026-03-28T22:16:55.930000+00:00,👀 Site Visit,rich,0,,,false,,,,false,,,,,,,,,2026-03-28T22:18:27.406000+00:00,false,0,Animal Battle Stats,1446203750204047426
